# NoCoverage mutants: 213
# generated from analysis/target/stryker4s-report/1782674938914/report.json
#
# by file:
#     83 src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala
#     45 src/main/scala/com/github/mercurievv/scalasemantic/analysis/graph/DependencyGraphs.scala
#     39 src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala
#     24 src/main/scala/com/github/mercurievv/scalasemantic/analysis/graph/GraphMetrics.scala
#     22 src/main/scala/com/github/mercurievv/scalasemantic/analysis/graph/StructureMetrics.scala
#
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:75:36  [MethodExpression] -> pathFilter.filterNot(_.nonEmpty)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:75:54  [MethodExpression] -> _.isEmpty
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:76:5  [MethodExpression] -> structureResult.symbols.filter(s => keepModule(s.module)).map(s => s -> selectedMetrics(s, dimension)).sortBy((_, metrics) => -rankStructureMetrics(metrics, sort)).drop(limit.value)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:76:5  [MethodExpression] -> structureResult.symbols.filterNot(s => keepModule(s.module))
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:120:27  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:120:65  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:127:12  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:127:12  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:138:31  [MethodExpression] -> parentOf(sym).nonEmpty
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:147:61  [StringLiteral] -> "Stryker was here!"
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:148:41  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:149:41  [StringLiteral] -> "Stryker was here!"
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:222:35  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:228:37  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:234:19  [MethodExpression] -> references.map(_.uri).distinct.filter(defUri.contains)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:240:12  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:240:12  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:241:17  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:241:17  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:241:67  [StringLiteral] -> "Stryker was here!"
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:282:23  [MethodExpression] -> occ.iterator.filter(o => o.role == s.SymbolOccurrence.Role.DEFINITION && o.range.exists(inSelection)).map(_.symbol).filterNot(index.isLocal)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:282:23  [MethodExpression] -> occ.iterator.filterNot(o => o.role == s.SymbolOccurrence.Role.DEFINITION && o.range.exists(inSelection))
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:283:29  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:283:67  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:283:70  [MethodExpression] -> o.range.forall(inSelection)
